2023-07-10 19:15:01.086[1689009301086] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=BTCUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=0.001&price=30290.4&timestamp=1689009301086&signature=d2a925d0b34a8599b72698f8b8dcb2781fad968b3860bf601e1961a136ecac38
2023-07-10 19:15:01.351[1689009301351] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.CreateNewOrder - {"orderId":169612108569,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"bkYam8Bm55ELjtbWETCT02","price":"30290.40","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1689009302310}
2023-07-10 19:18:28.615[1689009508615] | INFO  | pool-2-thread-1 | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/listenKey
2023-07-10 19:18:30.092[1689009510092] | INFO  | pool-2-thread-1 | c.b.c.f.client.utils.RequestHandler  - PUT https://fapi.binance.com/fapi/v1/listenKey
2023-07-10 19:18:30.329[1689009510329] | INFO  | pool-2-thread-1 | c.t.binancebot.api.ConnectionService - {}
2023-07-10 19:29:59.423[1689010199423] | INFO  | OkHttp https://fstream.binance.com/... | c.t.b.service.FullOrderRepoServices  - Clear waitingList
2023-07-10 19:29:59.424[1689010199424] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - DELETE https://fapi.binance.com/fapi/v1/order?orderId=169612108569&symbol=BTCUSDT&timestamp=1689010199423&signature=f7c3831c708f7e6221ff6a1b5ea35ee7ec3883f63b48bba3f8e6cb8a96c4d261
2023-07-10 19:30:00.949[1689010200949] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.OrderService   - {"orderId":169612108569,"symbol":"BTCUSDT","status":"CANCELED","clientOrderId":"bkYam8Bm55ELjtbWETCT02","price":"30290.40","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1689010201928}
2023-07-10 19:30:00.949[1689010200949] | INFO  | OkHttp https://fstream.binance.com/... | c.t.b.service.FullOrderRepoServices  - Clear waitingList
2023-07-10 19:30:00.949[1689010200949] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=BTCUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=0.001&price=30296.2&timestamp=1689010200949&signature=53e32af2707802270103a85038d0981a754d87a0098a5ad418e5287b62edccbb
2023-07-10 19:30:01.204[1689010201204] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.CreateNewOrder - {"orderId":169615834647,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"vOVMnmwN0Tua8b4GAIEPe2","price":"30296.20","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0.00","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1689010202182}
2023-07-10 19:31:49.383[1689010309383] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=TAKE_PROFIT&timeInForce=GTC&quantity=0.001&reduceOnly=true&price=30345.0&stopPrice=30345.0&timestamp=1689010309383&signature=2360e780a67a8ace9582b3c43c6307c1353d2f90acbaa6b3997db4ac42bc763d
2023-07-10 19:31:50.941[1689010310941] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.CreateNewOrder - {"orderId":169616347297,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"XGITHvfUzelw6SBF0fk627","price":"30345","avgPrice":"0.00000","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"TAKE_PROFIT","reduceOnly":true,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"30345","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"TAKE_PROFIT","updateTime":1689010311930}
2023-07-10 19:31:50.942[1689010310942] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=BTCUSDT&side=SELL&type=STOP&timeInForce=GTC&quantity=0.001&reduceOnly=true&price=30271.8&stopPrice=30271.8&timestamp=1689010310942&signature=4f30e385ad0dda59be45b93078df14178914a9ea0ef4620d9f3a14e4f13b99d0
2023-07-10 19:31:51.197[1689010311197] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.CreateNewOrder - {"orderId":169616348477,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"J8aIs001WnWDoE33MIiqlC","price":"30271.80","avgPrice":"0.00","origQty":"0.001","executedQty":"0.000","cumQty":"0.000","cumQuote":"0.00000","timeInForce":"GTC","type":"STOP","reduceOnly":true,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"30271.80","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"STOP","updateTime":1689010312186}
2023-07-10 19:44:52.442[1689011092442] | INFO  | OkHttp https://fstream.binance.com/... | c.t.b.service.FullOrderRepoServices  - Clear waitingList
2023-07-10 19:44:52.443[1689011092443] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - DELETE https://fapi.binance.com/fapi/v1/order?orderId=169616347297&symbol=BTCUSDT&timestamp=1689011092443&signature=5bf0e35fdfde736f118353a70d2254135929072fce0087df1f9334795652cc25
2023-07-10 19:44:53.928[1689011093928] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.OrderService   - {"orderId":169616347297,"symbol":"BTCUSDT","status":"CANCELED","clientOrderId":"XGITHvfUzelw6SBF0fk627","price":"30345","avgPrice":"0.00000","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"TAKE_PROFIT","reduceOnly":true,"closePosition":false,"side":"SELL","positionSide":"BOTH","stopPrice":"30345","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"TAKE_PROFIT","updateTime":1689011094931}
